ID,Category,Subcategory,Stratum,Frequency,Word,Auditory,Visual,Haptic,Gustatory,Olfactory,Interoceptive,Dominant_modalities,Dominant_modality,Maximum_perceptual_strength,Iconicity,Modality_exclusivity
74,Verb,NA,Native,6018,fureru,1.272727273,3.090909091,4.454545455,0.727272727,1.363636364,3.272727273,Haptic,Haptic,4.454545455,2,26.28205128
354,Adjective,NA,Native,13779,fukai,2.8,4.4,3.3,2.1,1,4,Visual,Visual,4.4,2,19.31818182
76,Ideophone,Reduplicated,Ideophonic,6,kebakeba,1.1,4,4.2,1.1,0.3,1.5,Haptic,Haptic,4.2,2,31.96721311
355,Noun,NA,Native,4656,matsuri,3.7,4.2,1.5,1.8,2,2.6,Visual,Visual,4.2,2,17.08860759
357,Verb,NA,Native,10538,shiraberu,3.181818182,4.181818182,2.909090909,2.181818182,2.454545455,2.090909091,Visual,Visual,4.181818182,2,12.29946524
21,Noun,NA,Native,8737,hajime,3,2.6,1.1,0.7,0.8,2.5,Auditory,Auditory,3,2,21.4953271
23,Verb,NA,Native,3550,tsubuyaku,4,1.3,0.5,0.2,0.2,2.4,Auditory,Auditory,4,2,44.18604651
41,Adjective,NA,Native,1771,mazui,0.8,2.1,0.7,5,2.9,2.3,Gustatory,Gustatory,5,2,31.15942029
75,Verb,NA,Native,1849,hikidasu,1.363636364,2.818181818,3.454545455,1.090909091,0.636363636,2,Haptic,Haptic,3.454545455,2,24.80000001
141,Noun,NA,Native,2166,naka,1.416666667,2.916666667,2.25,0.5,0.75,3.583333333,Interoceptive,Interoceptive,3.583333333,2,27.00729927
142,Verb,NA,Native,10613,neru,0.8,2.1,0.8,0,0.1,4.4,Interoceptive,Interoceptive,4.4,2,53.65853659
232,Noun,NA,Loaned,5603,tabako,0.75,2.75,1.833333333,2.333333333,4.416666667,1.916666667,Olfactory,Olfactory,4.416666667,2,26.19047619
353,Verb,NA,Native,5993,chiru,1.7,3.3,0.8,0.2,0.5,1.4,Visual,Visual,3.3,2,39.24050633
22,Ideophone,Reduplicated,Ideophonic,12,pokupoku,2.9,1.7,1.1,0.8,0.4,1.6,Auditory,Auditory,2.9,2,29.41176471
77,Verb,NA,Native,40242,tsuku,1.363636364,1.818181818,2.090909091,0.454545455,1.181818182,1.909090909,Haptic,Haptic,2.090909091,2,18.55670103
140,Noun,NA,Sino-Japanese,12438,hogo,0.6,2.5,2.2,0.2,0.3,2.7,Interoceptive,Interoceptive,2.7,2,29.41176471
143,Function_word,NA,Native,43,sate,0.7,0.4,0.1,0.3,0.1,1.2,Interoceptive,Interoceptive,1.2,2,39.28571429
144,Verb,NA,Native,5875,shitagau,1.615384615,1.615384615,0.769230769,0.461538462,0.461538462,2.615384615,Interoceptive,Interoceptive,2.615384615,2,28.57142856
356,Verb,NA,Native,484861,naru,1.1,1.9,1.3,1,0.9,1.6,Visual,Visual,1.9,2,12.82051282
358,Verb,NA,Native,12046,susumeru,1.153846154,2.769230769,1.384615385,0.692307692,0.615384615,2.384615385,Visual,Visual,2.769230769,2,23.93162393
359,Verb,NA,Native,9309,yameru,2.3,2.8,2,0.7,0.8,2.4,Visual,Visual,2.8,2,19.09090909
139,Verb,NA,Native,6909,tsunagaru,1.2,2.5,2.4,0.2,0.7,3,Interoceptive,Interoceptive,3,2.058823529,28
352,Verb,NA,Native,10919,sumu,1,2.4,1.2,0.3,0.7,2.3,Visual,Visual,2.4,2.0625,26.58227848
351,Adjective,NA,Native,5720,yutakana,3,4.272727273,3.454545455,3.272727273,2.636363636,3.181818182,Visual,Visual,4.272727273,2.076923077,8.256880737
138,Function_word,NA,Native,30491,mada,1.7,2,0.7,0.3,0.4,2.6,Interoceptive,Interoceptive,2.6,2.076923077,29.87012987
231,Adjective,NA,Native,2053,kusai,0.846153846,1.846153846,1.307692308,2.538461538,4.923076923,2.615384615,Olfactory,Olfactory,4.923076923,2.083333333,28.96174864
20,Function_word,NA,Native,"652,699",masu,3.181818182,1.363636364,0.636363636,0.363636364,0.454545455,0.818181818,Auditory,Auditory,3.181818182,2.090909091,41.33333333
350,Function_word,NA,Native,272773,kono,2.1,3,2.2,1.5,1.1,1.6,Visual,Visual,3,2.090909091,16.52173913
349,Noun,NA,Native,9473,kubi,1.3,4.4,3.7,0.2,0.5,3.6,Visual,Visual,4.4,2.1,30.65693431
137,Verb,NA,Native,4658,tsukareru,2.2,3.4,2.3,0.8,1.4,4.7,Interoceptive,Interoceptive,4.7,2.1,26.35135135
348,Adjective,NA,Native,1767,mazushii,1.333333333,3.166666667,1.166666667,1.916666667,1.083333333,2.833333333,Visual,Visual,3.166666667,2.111111111,18.11594203
136,Verb,NA,Native,15356,shinu,1.8,4.1,2,0.5,1.4,4.2,Interoceptive,Interoceptive,4.2,2.117647059,26.42857143
213,Adjective,NA,Native,7239,hageshii,3.3,3.3,1.4,0.7,0.7,2.5,"Auditory, Visual",NA,3.3,2.117647059,21.8487395
73,Verb,NA,Native,78996,motsu,0.4,3,4.1,0,0,2.7,Haptic,Haptic,4.1,2.125,40.19607843
345,Noun,NA,Loaned,4563,garasu,2.181818182,4,3.818181818,0.090909091,0.090909091,1.272727273,Visual,Visual,4,2.125,34.12698412
